CONTRACT_ADDRESS,APP_NAME,VERTICAL
0x9185af704124515bc588e71af96537a0e3a6d18aad56d7e0c2668cb1ddd5ca0d,Chirp,Utility
0x9193d45dad53d69b83728cc015e398196fc7a35c06f1e758dfd5f71c51cf6edc,Kriya,DeFi
0x91a14ecbb8b143a7c6c39de0b2bed90e689c8140aa1e48e8561835d112898703,AlphaFi,DeFi
0x91bfbc386a41afcfd9b2533058d7e915a1d3829089cc268ff4333d54d6339ca1,Turbos Finance,DeFi
0x91cd7f55c77daaa98d1eb75b3ffe50170afe517930aa57dd0e7ac56712656b3a,Pawtato Finance,DeFi
0x91e1dcf406fe57a6fc9882acd5f4118511902584780c65ebad384ad09a596221,Aftermath Finance,DeFi
0x91ed08cb870f3c0be3649f9a3e688cf89b0f1c298f597679cf66df6aa6af1a23,Cetus,DeFi
0x91fe40feeca8ecd18da3e1161408cc5b44e6a02a8aeac8fede2ff99bf58e5720,Swarm Network,Utility
0x92890696604dacfa9c59d45d9709185217c7b00f42807044f934e3f0b8a073f3,STEAMM,DeFi
0x929c577ac4083dff3907386ee60ffe597910f2c2bfc1bf7cb917ff46baab3861,Turbos Finance,DeFi
0x92e308ddb5f04159c846b5f7172824792bbf7674177c62aa37a903412d8c9165,Typus Finance,DeFi
0x92fecee99603c0628ced2fbd37f85c05f6c0049c183eb6b1b58db24764c6c7bc,Move Pump,Memecoin
0x9317c4fe4d69a9c87f4a1e665e306bf00dbbc601d43a7aff7c6bd2291199c30d,Movescriptions,Utility
0x93195daadbc4f26c0c498f4ceac92593682d2325ce3a0f5ba9f2db3b6a9733dd,Degen Rabbit,NFT
0x93213d3763633ef20f810a06ec9ff2b3044a60ca01a2d623b4685da8e1f52e64,Aftermath Finance,DeFi
0x93285bddc38ad50407734c857d2f258bdcc0a1ad79b2766d278011dc5dac095f,BlueMove,NFT Apps
0x9350a1255517473fe9af249beae7dcac7ca13cce88e5658c2407610a2525e1c3,Typus - SINGLE_COLLATERAL_AC_REGISTRY,DeFi
0x935d60a22b5b71c150fe24d1c028ef94082a09475c0440c1b09b8c0931b2a5d3,FlowX Finance,DeFi
0x935e35a93b81a708502fd5dc64d55477a453d3cae27fda1ae8153543d01015ac,Pawtato Finance,DeFi
0x936b5fe77431fd34b742fb27890b9c59f06db3c193d490f058c5273f6827b800,SuiCityP2E,Gaming
0x936e250c06624db833f4118b6cf3166859dee868d1305fbf6c4ed064c939d9e6,Typus Finance,DeFi
0x939c752ab336fa6e0e3e241ab14e1e20d56423e6e69f6b61a0f27a187aef4082,Typus Finance,DeFi
0x93a36744eff6ee002ef32948866098eae032f277e7e702133dd35dc7cbfe1681,Brag,
